Taxa	Mother	Y_Northing	X_Easting	Field_test	Tolerance	Flush_1st	Flush_2nd	Altitude	AnnMeanT	AnnPrec	PrecWettestM	MaxTWarmestM	TAnnRange	flushClass
107	7659	82-1	48.1923861111111	14.7676305555556	R2	1	1	4	228	8.92083358764648	673	96	24.3999996185303	29.1999998092652	green
108	25398	82-1	48.1923861111111	14.7676305555556	R2	6	1	2	228	8.92083358764648	673	96	24.3999996185303	29.1999998092652	yellow
109	737	82-2	48.1899027777778	14.7693527777778	R1	5	2	5	228	8.94583320617676	671	96	24.3999996185303	29.1999998092652	green
110	3345	82-2	48.1899027777778	14.7693527777778	R1	1	3	6	228	8.94583320617676	671	96	24.3999996185303	29.1999998092652	green
111	5361	82-3	48.1887333333333	14.7690833333333	R1	1	2	6	228	8.94583320617676	671	96	24.3999996185303	29.1999998092652	yellow
112	18359	82-3	48.1887333333333	14.7690833333333	R2	6	1	1	228	8.94583320617676	671	96	24.3999996185303	29.1999998092652	orange
113	24039	89-1	48.02198	16.0392	R2	2	2	4	487	8.41250038146973	722	91	23.2999992370605	27.7999992370605	green
114	26952	89-1	48.02198	16.0392	R2	6	1	1	487	8.41250038146973	722	91	23.2999992370605	27.7999992370605	orange
115	15016	89-2	48.02256	16.03872	R2	2	2	4	487	8.41250038146973	722	91	23.2999992370605	27.7999992370605	green
116	16101	89-2	48.02256	16.03872	R2	6	1	2	487	8.41250038146973	722	91	23.2999992370605	27.7999992370605	yellow
117	17728	90-1	47.4735	16.16336	R2	4	1	3	717	7.78749990463257	863	110	22.6000003814697	27.9000005722046	green
118	15860	90-1	47.4735	16.16336	R2	1	1	3	717	7.78749990463257	863	110	22.6000003814697	27.9000005722046	green
119	21472	91-1	47.57619	16.01976	R2	4	3	2	859	7.09999990463257	965	123	21.6000003814697	27.3000001907348	yellow
120	487	91-1	47.57619	16.01976	R1	1	2	6	859	7.09999990463257	965	123	21.6000003814697	27.3000001907348	green
121	10851	93-1	47.75458	15.98975	R2	3	1	4	528	8.375	831	107	23.2000007629395	27.9000005722046	yellow
122	27932	93-1	47.75458	15.98975	R2	6	1	1	528	8.375	831	107	23.2000007629395	27.9000005722046	green
123	8045	96-1	48.00632	15.63812	R2	1	1	3	453	8.17083358764648	794	106	23	27.8000001907349	green
124	17849	96-1	48.00632	15.63812	R2	6	1	1	453	8.17083358764648	794	106	23	27.8000001907349	orange
125	12406	97-1	47.80539	15.70127	R2	1	3	4	729	7.69166660308838	932	126	22.2999992370605	27.4999990463256	green
126	26814	97-1	47.80539	15.70127	R2	6	1	3	729	7.69166660308838	932	126	22.2999992370605	27.4999990463256	yellow
127	16551	99-1	48.373364	15.984225	R2	6	1	1	179	9.86250019073486	526	73	25.2999992370605	28.5999991893768	orange
128	27581	99-1	48.373364	15.984225	R2	1	1	3	179	9.86250019073486	526	73	25.2999992370605	28.5999991893768	green
129	11743	99-2	48.370971	15.98657	R2	4	3	3	179	9.86250019073486	526	73	25.2999992370605	28.5999991893768	yellow
130	15779	99-2	48.370971	15.98657	R2	1	2	4	179	9.86250019073486	526	73	25.2999992370605	28.5999991893768	green
131	27302	103-1	48.142851	17.013095	R2	1	1	4	140	10.0041666030884	618	70	25.3999996185303	28.599999666214	green
132	19241	104-2	48.075813	16.74869	R2	1	2	3	248	9.60416698455811	619	71	25.2999992370605	29.0999991893768	yellow
133	18768	104-2	48.075813	16.74869	R2	6	1	4	248	9.60416698455811	619	71	25.2999992370605	29.0999991893768	yellow
134	7762	106-2	46.799056	14.808472	R2	2	1	3	452	8.50416660308838	1003	133	24.8999996185303	31.6999998092652	green
135	11304	106-2	46.799056	14.808472	R2	3	1	2	452	8.50416660308838	1003	133	24.8999996185303	31.6999998092652	green
136	20896	106-3	46.799056	14.808472	R2	4	1	3	452	8.50416660308838	1003	133	24.8999996185303	31.6999998092652	green
137	27239	106-3	46.799056	14.808472	R2	6	2	3	452	8.50416660308838	1003	133	24.8999996185303	31.6999998092652	yellow
138	13965	107-1	46.76495	14.9244833333333	R2	6	1	1	726	7.20416641235352	1094	143	22.7999992370605	30.0999994277954	green
139	22662	107-1	46.76495	14.9244833333333	R2	2	2	3	726	7.20416641235352	1094	143	22.7999992370605	30.0999994277954	green
140	19910	107-2	46.7645166666667	14.9246277777778	R2	4	1	4	726	7.20416641235352	1094	143	22.7999992370605	30.0999994277954	yellow
141	22848	107-2	46.7645166666667	14.9246277777778	R2	1	1	4	726	7.20416641235352	1094	143	22.7999992370605	30.0999994277954	green
142	6052	107-3	46.7638472222222	14.9242055555556	R1	1	3	6	726	7.20416641235352	1094	143	22.7999992370605	30.0999994277954	green
143	4066	107-3	46.7638472222222	14.9242055555556	R1	5	3	6	726	7.20416641235352	1094	143	22.7999992370605	30.0999994277954	yellow
144	16595	109-1	46.718475	14.8979666666667	R2	3	1	3	466	8.49166679382324	1090	140	24.7000007629395	31.2000007629395	green
145	16529	109-1	46.718475	14.8979666666667	R2	6	1	1	466	8.49166679382324	1090	140	24.7000007629395	31.2000007629395	orange
146	13078	109-2	46.718475	14.8979666666667	R2	2	1	3	466	8.49166679382324	1090	140	24.7000007629395	31.2000007629395	green
147	21573	109-2	46.718475	14.8979666666667	R2	4	1	3	466	8.49166679382324	1090	140	24.7000007629395	31.2000007629395	yellow
148	20153	109-3	46.7179777777778	14.8962861111111	R2	6	3	3	466	8.49166679382324	1090	140	24.7000007629395	31.2000007629395	yellow
149	22304	109-3	46.7179777777778	14.8962861111111	R2	1	1	4	466	8.49166679382324	1090	140	24.7000007629395	31.2000007629395	green
150	21913	109-4	46.7178	14.8965388888889	R2	4	2	3	466	8.49166679382324	1090	140	24.7000007629395	31.2000007629395	yellow
151	19202	109-4	46.7178	14.8965388888889	R2	1	1	3	466	8.49166679382324	1090	140	24.7000007629395	31.2000007629395	green
152	5858	111-1	46.6666916666667	14.3117194444444	R1	4	2	6	451	8.08333301544189	889	117	25	32.5	green
153	27957	111-1	46.6666916666667	14.3117194444444	R2	1	1	3	451	8.08333301544189	889	117	25	32.5	green
154	13886	111-4	46.6665416666667	14.3109722222222	R2	6	1	1	451	8.125	893	118	25.2000007629395	32.7000007629395	orange
155	24168	111-4	46.6665416666667	14.3109722222222	R2	3	1	3	451	8.125	893	118	25.2000007629395	32.7000007629395	green
156	20566	111-5	46.666275	14.3106083333333	R2	1	1	3	451	8.125	893	118	25.2000007629395	32.7000007629395	green
157	14897	111-5	46.666275	14.3106083333333	R2	4	1	3	451	8.125	893	118	25.2000007629395	32.7000007629395	yellow
158	12782	111-6	46.6663472222222	14.3103194444444	R2	1	1	5	451	8.125	893	118	25.2000007629395	32.7000007629395	green
159	26251	111-6	46.6663472222222	14.3103194444444	R2	3	1	3	451	8.125	893	118	25.2000007629395	32.7000007629395	yellow
160	13409	113-1	46.6672666666667	14.3039	R2	6	1	1	450	8.07916641235352	894	118	25	32.5	orange
161	20555	113-1	46.6672666666667	14.3039	R2	1	2	4	450	8.07916641235352	894	118	25	32.5	green
162	13525	123-1	46.90563	12.90185	R2	6	1	4	1115	6.57916641235352	1030	143	22.2999992370605	30.3999996185302	yellow
163	21038	123-1	46.90563	12.90185	R2	1	1	2	1115	6.57916641235352	1030	143	22.2999992370605	30.3999996185302	green
164	17346	123-2	46.9058	12.90187	R2	4	1	3	1115	6.57916641235352	1030	143	22.2999992370605	30.3999996185302	yellow
165	20037	123-2	46.9058	12.90187	R2	1	1	4	1115	6.57916641235352	1030	143	22.2999992370605	30.3999996185302	green
166	13373	127-1	47.738778	15.656764	R2	4	2	4	800	6.62916660308838	1060	143	20.8999996185303	26.6999998092652	yellow
167	26855	127-1	47.738778	15.656764	R2	1	1	3	800	6.62916660308838	1060	143	20.8999996185303	26.6999998092652	green
168	16200	128-1	48.206869	15.918994	R2	6	1	1	269	9.51666641235352	584	77	24.8999996185303	28.599999666214	orange
169	20946	128-1	48.206869	15.918994	R2	3	1	2	269	9.51666641235352	584	77	24.8999996185303	28.599999666214	green
170	2664	128-2	48.206869	15.918994	R1	1	3	6	269	9.51666641235352	584	77	24.8999996185303	28.599999666214	green
171	8799	128-2	48.206869	15.918994	R2	6	1	1	269	9.51666641235352	584	77	24.8999996185303	28.599999666214	orange
172	594	131-1	48.2353138888889	14.6526444444444	R1	1	1	5	241	8.94166660308838	692	98	24.6000003814697	29.4000005722046	green
173	14000	131-1	48.2353138888889	14.6526444444444	R2	6	2	2	241	8.94166660308838	692	98	24.6000003814697	29.4000005722046	yellow
174	6208	132-1	48.1872138888889	14.6423722222222	R1	1	3	6	233	8.95416641235352	689	98	24.2999992370605	28.8999991416931	green
175	27050	132-1	48.1872138888889	14.6423722222222	R2	6	1	1	233	8.95416641235352	689	98	24.2999992370605	28.8999991416931	yellow
176	27353	133-1	48.2518444444444	14.5539888888889	R2	4	1	3	246	8.92083358764648	706	100	24.3999996185303	28.9999995231629	green
177	29507	133-1	48.2518444444444	14.5539888888889	R2	4	1	4	246	8.92083358764648	706	100	24.3999996185303	28.9999995231629	green
178	24761	136-2	48.236438	14.04521	R2	6	2	3	370	8.60416698455811	940	120	23.2999992370605	27.2999992370605	yellow
179	23266	136-2	48.236438	14.04521	R2	4	3	3	370	8.60416698455811	940	120	23.2999992370605	27.2999992370605	green
180	8251	140-1	48.058638	14.370938	R2	1	2	4	376	8.625	827	115	23.7999992370605	28.3999991416931	green
181	11609	142-1	47.846162	14.639334	R2	6	2	3	404	7.97499990463257	808	116	22.7999992370605	28.1999993324279	yellow
182	23257	142-1	47.846162	14.639334	R2	2	2	4	404	7.97499990463257	808	116	22.7999992370605	28.1999993324279	green
183	1455	143-1	48.2683638888889	14.6551694444444	R1	1	2	6	361	8.28333377838135	747	105	23.7000007629395	28.9000005722046	green
184	19304	56-1	48.402177	15.507808	R2	3	1	3	196	9.18333339691162	537	84	24.3999996185303	28.1999995708466	yellow
185	4468	143-2	48.2696861111111	14.6547166666667	R1	1	2	5	361	8.28333377838135	747	105	23.7000007629395	28.9000005722046	green
186	5737	143-2	48.2696861111111	14.6547166666667	R1	4	2	6	361	8.28333377838135	747	105	23.7000007629395	28.9000005722046	green
187	3961	145-1	48.418711	13.519227	R1	4	2	6	327	8.41250038146973	900	107	23.5	27.9000000953674	green
188	21032	145-1	48.418711	13.519227	R2	2	2	4	327	8.41250038146973	900	107	23.5	27.9000000953674	green
189	9086	146-1	48.326901	13.637121	R2	6	1	1	379	8.37083339691162	951	114	23.2999992370605	27.6999993324279	orange
190	24645	146-1	48.326901	13.637121	R2	2	1	4	379	8.37083339691162	951	114	23.2999992370605	27.6999993324279	green
191	3892	146-2	48.326901	13.637121	R1	6	2	6	379	8.37083339691162	951	114	23.2999992370605	27.6999993324279	green
192	2821	149-1	48.082106	14.454431	R1	1	2	6	294	9.02916717529297	762	108	24.6000003814697	29.0000004768371	green
193	28008	149-1	48.082106	14.454431	R2	6	1	1	294	9.02916717529297	762	108	24.6000003814697	29.0000004768371	orange
194	25457	150-1	48.082086	14.452494	R2	1	2	3	315	9.02916717529297	762	108	24.6000003814697	29.0000004768371	green
195	18818	150-1	48.082086	14.452494	R2	6	1	1	315	9.02916717529297	762	108	24.6000003814697	29.0000004768371	orange
196	2826	151-1	48.084288	14.453826	R1	4	1	5	315	8.97083377838135	767	108	24.5	29	green
197	25954	151-1	48.084288	14.453826	R2	1	1	2	315	8.97083377838135	767	108	24.5	29	green
198	3586	151-2	48.084288	14.453826	R1	6	2	6	315	8.97083377838135	767	108	24.5	29	yellow
199	13223	152-1	48.057219	14.432477	R2	6	1	2	298	8.95416641235352	782	109	24.3999996185303	28.7999997138977	yellow
200	26654	152-1	48.057219	14.432477	R2	1	1	4	298	8.95416641235352	782	109	24.3999996185303	28.7999997138977	green
201	3243	156-1	48.241945	14.495724	R1	6	2	6	245	8.94583320617676	717	100	24.2999992370605	28.7999992370605	green
202	12708	156-2	48.241945	14.495724	R2	1	1	3	245	8.94583320617676	717	100	24.2999992370605	28.7999992370605	green
203	17206	156-2	48.241945	14.495724	R2	4	1	3	245	8.94583320617676	717	100	24.2999992370605	28.7999992370605	yellow
204	3462	157-2	48.245319	14.409196	R1	1	3	6	245	9.00416660308838	733	102	24.1000003814697	28.3000001907348	green
205	17602	157-2	48.245319	14.409196	R2	6	1	1	245	9.00416660308838	733	102	24.1000003814697	28.3000001907348	orange
206	14023	159-1	47.860902	14.646436	R2	3	2	5	520	7.47916650772095	875	125	22.2999992370605	27.9999990463256	green
207	9272	159-1	47.860902	14.646436	R2	6	1	1	520	7.47916650772095	875	125	22.2999992370605	27.9999990463256	orange
208	425	164-1	47.741326	14.669703	R1	1	1	5	443	7.375	878	126	22.3999996185303	28.6999998092652	green
209	8873	164-1	47.741326	14.669703	R2	6	1	4	443	7.375	878	126	22.3999996185303	28.6999998092652	green
210	968	166-1	47.881355	14.560369	R1	4	2	6	389	8.16250038146973	805	114	23.1000003814697	28.3000001907348	yellow
211	23237	166-1	47.881355	14.560369	R2	1	1	4	389	8.16250038146973	805	114	23.1000003814697	28.3000001907348	green
212	2885	167-1	47.881379	14.560115	R1	1	3	6	389	8.16250038146973	805	114	23.1000003814697	28.3000001907348	green
213	13079	168-1	47.908386	14.445277	R2	6	1	4	495	8.37083339691162	822	115	23.1000003814697	27.8000001907348	yellow
214	28851	168-1	47.908386	14.445277	R2	1	1	3	495	8.37083339691162	822	115	23.1000003814697	27.8000001907348	green
215	19475	169-1	47.907832	14.422977	R2	6	1	1	879	6.55833339691162	1032	142	20.7000007629395	26.6000008583069	orange
216	25128	169-1	47.907832	14.422977	R2	2	1	4	879	6.55833339691162	1032	142	20.7000007629395	26.6000008583069	green
217	4895	169-2	47.907832	14.422977	R1	1	3	6	879	6.55833339691162	1032	142	20.7000007629395	26.6000008583069	green
218	27112	169-2	47.907832	14.422977	R2	6	1	3	879	6.55833339691162	1032	142	20.7000007629395	26.6000008583069	yellow
219	2348	170-1	47.90522	14.44939	R1	1	3	6	402	8.39583301544189	821	115	23.1000003814697	27.8000001907348	green
220	9374	170-1	47.90522	14.44939	R2	6	3	3	402	8.39583301544189	821	115	23.1000003814697	27.8000001907348	yellow
221	5520	171-1	48.330903	14.589593	R1	1	3	6	361	8.29583358764648	740	103	23.7000007629395	28.9000005722046	green
222	5494	171-1	48.330903	14.589593	R1	5	3	6	361	8.29583358764648	740	103	23.7000007629395	28.9000005722046	yellow
223	4041	171-2	48.330903	14.589593	R1	5	2	6	361	8.29583358764648	740	103	23.7000007629395	28.9000005722046	yellow
